Date,ID,Focal_Desc,Scan,Activity ,NN_Desc,DistNN,NumNN,Lat,Lon,EdgeType,AnthDist,RivDist,RivDistBuff,BananaDist,LodgeDist,YardDist,CabinDist,CampDist,Collector
20180710,HB1264,AF,13,R,AF,,0,10.44139998,-83.786522,b,41.44,54.58,44.58,233.61,301.63,149.71,0,0,CARRIE
20180804,HB1404,AM,14,R,AF,,0,10.44486104,-83.78661303,r,146.45,39.56,29.56,614.75,684.56,532.36,316.96,316.96,CARRIE
20180601,HB5252,AM,7,O,,,0,10.44517997,-83.78168003,i,209.32,186.56,176.56,858.33,880.26,765.99,616.28,616.28,Elizabeth Coggeshall
20180601,HB5252,AM,8,R,,,0,10.44517997,-83.78168003,i,209.32,186.56,176.56,858.33,880.26,765.99,616.28,616.28,Elizabeth Coggeshall
20180603,HB5259,AM,5,R,,,0,10.43892003,-83.78751299,b,186.36,85.14,75.14,44.54,98.71,119.53,248.25,44.54,Elizabeth Coggeshall
20180603,HB5259,AM,6,R,,,0,10.43892003,-83.78751299,b,186.36,85.14,75.14,44.54,98.71,119.53,248.25,44.54,Elizabeth Coggeshall
20180609,HB5294,AF,2,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20180609,HB5294,AF,3,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20180609,HB5294,AF,4,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20180609,HB5294,AF,5,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20180609,HB5294,AF,6,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20180609,HB5294,AF,7,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20180609,HB5294,AF,8,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20180609,HB5294,AF,9,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20180609,HB5294,AF,10,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20180609,HB5294,AF,11,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20180609,HB5294,AF,12,R,J,,0,10.44323402,-83.785774,a,86.73,117.27,107.27,448.81,509.84,358.08,156.73,156.73,Elizabeth Coggeshall
20170630,Hb6001,AF ,2,R,AF,,0,10.44423197,-83.78424698,i,214.28,195.66,185.66,612.51,660.34,518.01,337.55,337.55,Laura
20170630,Hb6001,AF ,3,R,AF,,0,10.44423197,-83.78424698,i,214.28,195.66,185.66,612.51,660.34,518.01,337.55,337.55,Laura
20170630,Hb6001,AF ,4,R,AF,,0,10.44423197,-83.78424698,i,214.28,195.66,185.66,612.51,660.34,518.01,337.55,337.55,Laura
20170630,hb6003,J,5,F,AF,,0,10.44414103,-83.784221,i,207.5,205.41,195.41,604.9,652.04,510.37,331.76,331.76,Laura
20170630,hb6003,J,7,F,AF,,0,10.44414103,-83.784221,i,207.5,205.41,195.41,604.9,652.04,510.37,331.76,331.76,Laura
