"","ID","RestPct","MovingPct","FeedingPct","AvgNumNN","AvgDistNN","RivDist","AnthDist","nObs"
"1","HB1001",75,12.5,12.5,1.125,2.96428571428571,25.35,174.43,16
"2","HB1002",90,10,0,1.7,3,51.57,154.9,10
"3","HB1003",100,0,0,1,0.5,110.93,72.06,16
"4","HB1004",53.3333333333333,26.6666666666667,20,0,12.75,42.74,159.2,15
"5","HB1005",30.7692307692308,7.69230769230769,38.4615384615385,2,3.7,46.69,149.88,13
"6","HB1006",100,0,0,3.0625,0.46875,11.19,89.63,16
"7","HB1007",60,40,0,0.5,7.38888888888889,4.74,104.63,10
"8","HB1008",100,0,0,0.4375,6.65625,56.66,307.02,16
"9","HB1009",60,20,20,1,2.5,28.64,284.98,10
"10","HB1010",80,20,0,0.9,0.666666666666667,43.01,146.36,10
"11","HB1011",100,0,0,0,NA,30.26,64.69,16
"12","HB1012",100,0,0,0.9375,2.40625,35.71,282.42,16
"13","HB1013",100,0,0,0,7,50.26,274.97,16
"14","HB1014",100,0,0,1.1875,2.9375,39.74,283.63,16
"15","HB1015",93.75,6.25,0,3.2,0.533333333333333,465.44,135.48,16
"16","HB1016",46.1538461538462,7.69230769230769,23.0769230769231,2.9,0.45,486.06,95.92,13
"17","HB1017",100,0,0,0,NA,106.58,93.28,16
"18","HB1018",75,6.25,0,1.07692307692308,2.69230769230769,87.04,265.25,16
"19","HB1019",93.75,0,6.25,2.1875,0.65625,21.6,269.33,16
"20","HB1020",75,0,0,0,13,41.29,293.26,12
"21","HB1021",93.75,6.25,0,4.1875,4.9375,45.79,331.29,16
"22","HB1022",75,12.5,0,2.14285714285714,5.64285714285714,43.67,343.97,16
"23","HB1023",100,0,0,4.3125,0.5,81.82,342.41,16
"24","HB1024",25,37.5,25,0.857142857142857,5.28571428571429,393.42,114.24,16
"25","HB1025",50,8.33333333333333,0,0.5,6.85714285714286,395.26,112.34,12
"26","HB1026",100,0,0,1,0.5625,394.03,114.88,16
"27","HB1027",68.75,0,25,1.875,5.5,394.03,114.88,16
"28","HB1028",93.75,0,0,5.6,0.6,202.94,14.16,16
"29","HB1029",100,0,0,4.4375,0.875,207.99,14.24,16
"30","HB1030",100,0,0,3,0.1875,209.31,16.05,16
"31","HB1031",100,0,0,4.125,2,207.56,23.86,16
"32","HB1032",93.75,0,6.25,2.375,1.46875,208.85,23.03,16
"33","HB1033",100,0,0,2,1.4375,131.91,31.27,16
"34","HB1034",100,0,0,1,2,123.34,35.35,16
"35","HB1035",68.75,25,0,2.75,2.53333333333333,128.83,31.92,16
"36","HB1036",62.5,18.75,0,2.42857142857143,2.34615384615385,129.76,28.63,16
"37","HB1037",18.75,25,43.75,1.42857142857143,3.03571428571429,10.72,94.57,16
"38","HB1038",62.5,6.25,25,1,6.06666666666667,31.38,64.97,16
"39","HB1039",37.5,18.75,18.75,0.933333333333333,6.6,100.42,248.54,16
"40","HB1040",75,6.25,12.5,0,10.625,93.06,219.08,16
"41","HB1041",100,0,0,1.5,3.3125,101.04,246.67,16
"42","HB1042",100,0,0,0.625,4.78125,91.6,238.3,16
"43","HB1043",100,0,0,0.125,10.8125,92.96,240.03,16
"44","HB1044",93.75,6.25,0,2.3125,1.5625,87.03,222.73,16
"45","HB1045",25,6.25,56.25,1.35714285714286,3.28571428571429,110.16,253.93,16
"46","HB1046",75,6.25,18.75,2.8125,1.21875,70.51,227.84,16
"47","HB1047",62.5,12.5,25,2.3125,2.09375,60.19,215.93,16
"48","HB1048",43.75,25,18.75,1.28571428571429,3.85714285714286,99.64,258.82,16
"49","HB1049",81.25,6.25,6.25,3,1.7,89.55,229.17,16
"50","HB1050",68.75,31.25,0,3.5,0.40625,67.5,217.65,16
"51","HB1051",100,0,0,3.375,2,83.19,238.27,16
"52","HB1052",100,0,0,1,0.40625,68.66,218.63,16
"53","HB1053",68.75,6.25,12.5,0.428571428571429,5.71428571428571,101.02,260.18,16
"54","HB1054",56.25,12.5,31.25,2.75,2.15625,55.02,205.42,16
"55","HB1055",100,0,0,5.8125,0.34375,111.09,85.45,16
"56","HB1056",43.75,37.5,6.25,1.28571428571429,3.07142857142857,103.11,93.24,16
"57","HB1057",25,0,0,0,NA,108.42,296.88,16
"58","HB1058",50,6.25,12.5,0.363636363636364,7.8,122.61,256.56,16
"59","HB1059",25,62.5,0,1.14285714285714,3.42857142857143,216.02,193.35,8
"60","HB1060",100,0,0,2.125,1,34.92,223.52,16
"61","HB1061",100,0,0,2,0.71875,7.61,209.43,16
"62","HB1062",100,0,0,0,NA,10.78,374.64,16
"63","HB1063",81.25,6.25,0,0,9.78571428571429,209.26,248.31,16
"64","HB1064",100,0,0,2.25,3.1875,34.43,351.95,16
"65","HB1065",100,0,0,2.25,0.625,3.36,185.84,16
"66","HB1066",100,0,0,6,NA,34.43,351.95,16
"67","HB1215",18.75,6.25,37.5,0.875,4.25,68.98,274.23,16
"68","HB1216",87.5,6.25,6.25,0.25,10.1875,49.01,302.33,16
"69","HB1217",62.5,12.5,0,1.25,2.54166666666667,115.34,81.49,16
"70","HB1218",0,6.25,0,3.4375,0.59375,206.57,219.51,16
"71","HB1219",50,31.25,0,1.69230769230769,3.53846153846154,219.71,205.94,16
"72","HB1220",100,0,0,1,2.625,51.36,289.01,16
"73","HB1221",100,0,0,0,NA,66.14,393.76,16
"74","HB1222",50,31.25,0,NA,NA,161.38,258.01,16
"75","HB1223",62.5,31.25,0,NA,NA,131.83,276.68,16
"76","HB1224",62.5,18.75,12.5,0.866666666666667,6.6,137.7,268.92,16
"77","HB1225",100,0,0,3.0625,0.5625,73.42,22.53,16
"78","HB1226",100,0,0,3.25,0,72.69,22.72,16
"79","HB1227",100,0,0,2,2.3125,72.75,22.18,16
"80","HB1228",81.25,0,12.5,2.33333333333333,2.33333333333333,74.03,21.56,16
"81","HB1229",25,12.5,37.5,2.58333333333333,2.375,65.19,17.15,16
"82","HB1230",18.75,31.25,43.75,3.125,1.03125,61.89,20.51,16
"83","HB1231",100,0,0,0,NA,122.99,279.14,16
"84","HB1232",31.25,18.75,43.75,NA,NA,133.33,46.85,16
"85","HB1233",87.5,0,0,0,7,101.38,99.36,16
"86","HB1234",6.25,25,25,1,4,143.51,80.34,16
"87","HB1235",56.25,0,25,0.153846153846154,10.5384615384615,142,77.47,16
"88","HB1236",100,0,0,0.8125,5.1875,164.4,76.63,16
"89","HB1237",93.75,0,0,2,0.333333333333333,148.67,67.1,16
"90","HB1238",56.25,0,0,2,0.95,154.1,65.06,16
"91","HB1239",100,0,0,0.25,10.375,153.5,67.35,16
"92","HB1240",62.5,6.25,31.25,2.5625,0.8125,39.91,67.73,16
"93","HB1241",93.75,0,6.25,2.25,5.1875,37.52,71.48,16
"94","HB1242",81.25,0,18.75,2,1,32.31,73,16
"95","HB1243",100,0,0,2.6875,1,115.77,79.51,16
"96","HB1244",100,0,0,3,0.46875,116.16,84.95,16
"97","HB1245",100,0,0,0.6875,3.25,145.64,50.67,16
"98","HB1246",50,0,43.75,1.26666666666667,0.466666666666667,79.62,6.56,16
"99","HB1247",93.75,6.25,0,0.3125,10.5,85.54,1.17,16
"100","HB1248",100,0,0,4.5,0,85.59,0.06,16
"101","HB1249",6.25,0,75,3.69230769230769,2.15384615384615,188.73,56.63,16
"102","HB1250",81.25,6.25,0,0.8,7.13333333333333,188.73,56.63,16
"103","HB1251",100,0,0,3,0,187.72,94.94,16
"104","HB1252",100,0,0,3,0,191.86,90.08,16
"105","HB1253",93.75,0,0,3,0.3125,184.72,95.53,16
"106","HB1254",100,0,0,2.1875,2.375,188.92,96.14,16
"107","HB1255",50,25,0,1.25,5.08333333333333,189.43,94.58,16
"108","HB1256",25,0,56.25,1.21428571428571,4.5,161.36,0.05,16
